Brand,Model,Year,Price (USD),Stock Available,Selling Method,Description,Discount%,ImageUrl,Color
Toyota,Camry,2016,15000,5,Cash or Installment,"2.5L engine, automatic transmission, touchscreen display",3,https://www.pedal.ir/wp-content/uploads/2016/04/2016_Toyota_Camry_Hybrid_LE_4dr_Sedan_25L_4cyl_gaselectric_hybrid_02.jpg,"White, Black, Red"
Toyota,Corolla,2022,22000,8,Cash,"1.8L engine, advanced safety system",5,https://ymimg1.b8cdn.com/resized/car_version/24437/pictures/8569317/mobile_listing_main_13483_st1280_116.jpg,"Silver, Blue, Gray"
Toyota,Land Cruiser,2023,55000,3,Installment,"4WD, leather seats, 12-inch screen",2,https://www.drivearabia.com/carprices/media/catalog/60c151713ed7bToyota_Land_Cruiser_2022_front_uae_ksa_gcc.jpg,"Green, Brown, Beige"
Mercedes,C-Class,2014,20000,2,Cash,"Turbo engine, premium sound system",3,https://cdn.jdpower.com/Models/640x480/2014-Mercedes-Benz-C-Class-C350.jpg,"Yellow, Orange, Gold"
Mercedes,E-Class,2021,48000,4,Installment,"Leather seats, panoramic sunroof",10,https://media.ed.edmunds-media.com/mercedes-benz/e-class/2025/oem/2025_mercedes-benz_e-class_sedan_amg-e-53-hybrid_fq_oem_1_1600.jpg,"Purple, Pink, Cyan"
Mercedes,S-Class,2023,70000,1,Cash or Installment,"Autonomous driving technologies, automatic brakes",3,https://pictures.dealer.com/t/theherbchamberscompanies/0782/3a464f8296e8c846585665bd0f2c5eb9x.jpg,"White, Silver, Gray, Black"
Hyundai,Accent,2021,18000,10,Cash,"Economic engine, touchscreen display",10,"https://hips.hearstapps.com/hmg-prod/images/2022-hyundai-accent-mmp-1-1634756931.jpg
https://www.hyundai.com/content/dam/hyundai/ww/en/images/find-a-car/pip/cars/accent-hc/accent-hc-highlights-left-side-front-view-silver-m.jpg","Blue, Red, Green"
Hyundai,Sonata,2022,25000,6,Installment,"Sunroof, 360-degree camera",3,https://di-enrollment-api.s3.amazonaws.com/hyundai/models/2022/sonata/colors/Red.jpg,"Black, Gold, Maroon"
Hyundai,Tucson,2023,28000,7,Cash or Installment,"4WD, interior entertainment system",5,https://autoimage.capitalone.com/stock-media/chrome/2023-Hyundai-Tucson-SE-A5G-cc_2023HYS020001_01_2100_A5G.png,"Silver, White, Beige, Bronze"
Ford,Mustang,2020,35000,4,Cash,"V8 engine, sports exhaust",2,https://cdn.jdpower.com/JDPA_2020%20Ford%20Mustang%20Bullitt%20Green%20Front%20View.jpg,"Red, Yellow, Orange"
Ford,F-150,2021,45000,5,Installment,"Digital screen, heated seats",4,https://hips.hearstapps.com/hmg-prod/images/2021-ford-f-150-hybrid-lariat-117-1605761615.jpg,"Gray, Navy, Teal"
Ford,Explorer,2023,50000,2,Cash or Installment,"Powerful engine, panoramic sunroof",6,https://media.ed.edmunds-media.com/ford/explorer/2023/oem/2023_ford_explorer_4dr-suv_limited-hybrid_fq_oem_1_1280.jpg,"Brown, Cream, Olive"
Nissan,Altima,2020,24000,6,Cash or Installment,"Comprehensive safety system, 10-inch screen",3,https://media.ed.edmunds-media.com/nissan/altima/2020/oem/2020_nissan_altima_sedan_25-platinum_fq_oem_1_1600.jpg,"Black, White, Silver"
Nissan,Patrol,2021,60000,3,Cash,"4WD, triple-zone air conditioning",8,https://motoraty-media.s3.us-west-2.amazonaws.com/newcars/listing/10230/2021-nissan-patrol-suv-patrol-xe-%D9%86%D9%8A%D8%B3%D8%A7%D9%86-%D8%A8%D8%A7%D8%AA%D8%B1%D9%88%D9%84-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF%D8%A9-%D8%A7%D9%84%D8%A7%D8%BA%D8%B1%D8%A7%D8%B6-%D8%A8%D8%A7%D8%AA%D8%B1%D9%88%D9%84-xe-1587765388.4044.jpg,"Dark Green, Light Green, Gold"
Nissan,Maxima,2022,28000,4,Installment,"Sunroof, navigation system",9,https://file.kelleybluebookimages.com/kbb/base/evox/CP/50276/2022-Nissan-Maxima-front_50276_032_2400x1800_QAB.png,"Blue, Cyan, White, Gray"
BMW,3 Series,2019,42000,2,Cash,"Turbo engine, LED lighting",3,https://www.thecarexpert.co.uk/wp-content/uploads/2019/04/BMW-3-Series-saloon-2022-facelift-2133x1200-cropped.jpeg,"Red, Maroon, Burgundy"
BMW,5 Series,2021,50000,3,Installment,"Luxury design, sports suspension",3,https://media.ed.edmunds-media.com/bmw/5-series/2021/oem/2021_bmw_5-series_sedan_530e_fq_oem_1_1600.jpg,"Yellow, Bronze, Copper"
BMW,X5,2023,60000,1,Cash or Installment,"Leather seats, 4WD",6,https://cdn.motor1.com/images/mgl/3W13BL/s1/2023-bmw-x5-facelift-rendering.jpg,"Black, Blue, Navy"
Kia,Cerato,2021,20000,7,Cash,"2.0L engine, touchscreen display",2,https://images.carexpert.com.au/resize/3000/-/app/uploads/2021/07/2021-kia-cerato-s-23.jpg,"White, Beige, Brown"
Kia,Sportage,2022,27000,5,Installment,"360-degree camera, electric seats",3,https://cdn.motor1.com/images/mgl/MBlPE/s3/2022-kia-sportage-front-quarter.jpg,"Green, Silver, Gray"
Kia,Carnival,2023,35000,3,Cash or Installment,"Sunroof, sports wheels",10,https://ddztmb1ahc6o7.cloudfront.net/northedmontonkia/wp-content/uploads/2023/01/16113257/LX-Carnival.png,"Orange, Yellow, Gold, Silver"
Honda,Civic,2020,22000,6,Cash,"Advanced safety system, touchscreen",3,https://www.heraldnet.com/wp-content/uploads/2020/09/22614427_web1_M-2020-Honda-Civic-front-EDH-200905.jpg,"Pink, Rose, Magenta"
Honda,Accord,2021,30000,4,Installment,"Dual-zone AC, electric seat control",7,https://platform.cstatic-images.com/xlarge/in/v2/stock_photos/c7c546b0-2fd3-4538-bb09-309e7e1de088/aed1a0bf-8cb6-48bd-b012-df5ef9c2c997.png,"Black, Red, White, Silver"
Honda,CR-V,2022,37000,5,Cash or Installment,Adaptive cruise control,3,https://s3-us-west-2.amazonaws.com/motoraty-media/newcars/listing/9673/2021-honda-cr-v-touring-awd-%D9%87%D9%88%D9%86%D8%AF%D8%A7-cr-v-1634817135.8648.jpg,"Cyan, Teal, Aqua"
Chevrolet,Malibu,2021,27000,4,Cash,"2.5L engine, sunroof",5,https://di-sitebuilder-assets.s3.amazonaws.com/GMimages/gmMLP/chevrolet/Malibu/2021/RS.jpg,"Blue, Purple, Black"
Chevrolet,Camaro,2022,38000,3,Installment,"LED lighting, 4WD",2,https://di-uploads-pod3.dealerinspire.com/coylechevybuickgmc/uploads/2021/11/2022-Chevy-Camaro-1LT-RS-Overview-Left.jpg,"Gray, Black, Navy"
Chevrolet,Tahoe,2023,55000,2,Cash or Installment,"Triple-zone AC, electric seats",4,https://di-uploads-pod1.dealerinspire.com/dalebenetchevy/uploads/2022/07/2023-Chevy-Tahoe-RST-Model-Left.jpg,"White, Silver, Beige"
Jeep,Wrangler,2019,32000,5,Cash,"Large wheels, 4WD",6,https://cdn.jdpower.com/JDPA_2019-Jeep-Wrangler-Unlimited-Silver-Front-Quarter.jpg,"Brown, Green, Gold"
Jeep,Cherokee,2021,45000,4,Installment,"Digital screen, sunroof",2,https://www.jeffdambrosiochryslerjeepdodge.com/blogs/3502/wp-content/uploads/2020/11/2021-Cherokee.jpeg,"Red, Orange, Yellow, Burgundy"
Jeep,Compass,2024,48000,2,Cash or Installment,"V6 engine, all-wheel drive system",8,https://medias.fcacanada.ca/jellies/renditions/2024/800x510/CC24_MPJL74_2DA_PXJ_APA_XXX_XXX_XXX.6f932b74bcdb3e4a8989b1290748fb60.png,"Black, Charcoal, Dark Gray"
MG,3,2025,6000,3,Cash or Installment,1.5L engine,4,https://s1.cdn.autoevolution.com/images/models/MG_3-2024_main.jpg,blue
MG,5,2025,6800,5,Cash or Installment,1.5L engine,2,"https://images.netdirector.co.uk/gforces-auto/image/upload/w_354,h_236,dpr_2.0,q_auto,c_fill,f_auto,fl_lossy/auto-client/5b9d09160fd7e1cb92c77d88a629ea55/the_front_face_1_.png",silver
MG,GT,2025,8800,2,Cash or Installment,1.5T  engine,1,"https://images.netdirector.co.uk/gforces-auto/image/upload/q_auto,c_crop,f_auto,fl_lossy,x_286,y_0,w_2714,h_1810/w_1416,h_944,c_fill/auto-client/98e27e18c56643faac2fc097b27a2de3/mggt.11.jpg",yellow
MG,7,2025,12600,1,Cash or Installment,"2.0L engine, touchscreen display",3,"https://images.netdirector.co.uk/gforces-auto/image/upload/q_auto,c_crop,f_auto,fl_lossy,x_7796,y_0,w_7826,h_5869/w_744,h_558,c_fill/auto-client/f799a328a212056335762bf9735331d5/mg_7_high_res_images_13.jpg",green
